task_type,ablation,metric,mean_diff,ci95_lo,ci95_hi,wilcoxon_p,n_pairs
crypto_text_web,no_rag,total_reward,0.119162,0.113295,0.127162,1.0,50
crypto_text_web,no_rag,quality_score,-0.016122,-0.034694,0.001224,1.0,49
crypto_text_web,no_bon,total_reward,0.029505,0.021105,0.038305,1.0,50
crypto_text_web,no_bon,quality_score,0.1144,0.078,0.1522,1.0,50
forensics_image_metadata,no_rag,total_reward,0.110724,0.105867,0.115048,1.0,50
forensics_image_metadata,no_rag,quality_score,-0.0362,-0.057,-0.0174,1.0,50
forensics_image_metadata,no_bon,total_reward,0.030914,0.022267,0.040038,1.0,50
forensics_image_metadata,no_bon,quality_score,0.0948,0.068,0.1232,1.0,50
chat_llm,no_rag,total_reward,0.061818,0.054927,0.068527,1.0,50
chat_llm,no_rag,quality_score,-0.033,-0.0444,-0.022,1.0,50
chat_llm,no_bon,total_reward,0.029521,0.020536,0.039028,1.0,50
chat_llm,no_bon,quality_score,0.025745,0.005745,0.046383,1.0,47
web_static_xss,no_rag,total_reward,0.101581,0.094152,0.108381,1.0,50
web_static_xss,no_rag,quality_score,-0.0242,-0.039,-0.01,1.0,50
web_static_xss,no_bon,total_reward,0.01322,0.003811,0.023048,1.0,50
web_static_xss,no_bon,quality_score,0.01898,0.001837,0.03551,1.0,49
web_static_xss,no_self_test,total_reward,-0.006838,-0.013809,-0.000457,1.0,50
web_static_xss,no_self_test,quality_score,-0.0014,-0.0176,0.0154,1.0,50
