cve_id,condition,batch_id,batch_status,total_reward,quality_score,gate_FORMAT,gate_FUNCTIONAL,gate_SOLVABILITY,gate_NON_TRIVIALITY,soft_RAG_GROUNDING,soft_CVE_RELEVANCE,passed_all_binary,pub_ge_06,pub_ge_090,is_selected,selection_status,solvability_source,xss_selftest_live,n_selftest_live,tokens_in,tokens_out,selftest_cost_rub,cost_rub,wall_clock_s
CVE-2026-49383,full,70239326-b116-436f-ab06-bce4ef32826c,completed,0.965714,0.82,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,33150,10296,0.0,15.093,89.956
CVE-2026-49383,no_rag,342e7a2e-94c3-411e-8947-c368a43c761b,completed,0.854286,0.86,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18595,10152,0.0,10.6545,65.931
CVE-2026-49383,no_bon,3c054107-cd77-46fe-a6b1-5f996b8ad66c,completed,0.977143,0.88,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,6650,1203,0.0,2.5965,54.639
CVE-2026-42589,full,4c7b9fca-7d68-4b8a-ac1b-0670b72f3829,completed,0.969524,0.84,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,35190,12618,0.0,16.866,100.296
CVE-2026-42589,no_rag,f3a7b0b9-377d-46b2-acf9-1958ef48f5f4,completed,0.858095,0.88,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18655,5464,0.0,8.3285,52.34
CVE-2026-42589,no_bon,2897ac91-1d9c-4422-999f-26f8e15831ed,completed,0.961905,0.8,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,7040,1963,0.0,3.0935,71.168
CVE-2026-35231,full,d9d4d42a-e0bb-42f0-bf6a-4f49f6c5836a,completed,0.961905,0.8,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,34780,7165,0.0,14.0165,70.972
CVE-2026-35231,no_rag,d8ac3f51-87bb-4499-8b26-cad7becbdf6f,completed,0.854286,0.86,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18620,6653,0.0,8.9125,51.248
CVE-2026-35231,no_bon,584b5932-97d7-4d48-a457-fb8fa367cd42,completed,0.931429,0.64,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,6947,1951,0.0,3.0596,70.416
CVE-2026-35015,full,ed08b502-e295-4144-a91f-ac2322ae260d,completed,0.980952,0.9,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,35195,6334,0.0,13.7255,71.751
CVE-2026-35015,no_rag,32d65414-a3e3-4db9-a113-1ffd8a5f7024,completed,0.854286,0.86,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18650,8817,0.0,10.0035,66.79
CVE-2026-35015,no_bon,c4ec0372-998c-4807-8153-c8103ece0202,completed,0.977143,0.88,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,7048,3245,0.0,3.7369,87.848
CVE-2026-39828,full,4889f2f6-ba30-4306-8781-238a1e3e72be,completed,0.965714,0.82,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,32370,8523,0.0,13.9725,76.408
CVE-2026-39828,no_rag,e82f1452-f2eb-4f71-b171-d402482fae8e,completed,0.858095,0.88,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18610,8060,0.0,9.613,70.554
CVE-2026-39828,no_bon,e3cb30cb-3c9f-4f12-8fcb-48977748c6d4,completed,0.902857,0.64,1,1,1,1,1.0,0.7,1,1,1,1,selected,,,,6473,948,0.0,2.4159,53.494
CVE-2024-27872,full,ed50b280-f835-4369-abef-d4ef9e066a3a,completed,0.961905,0.8,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,29160,5732,0.0,11.614,66.137
CVE-2024-27872,no_rag,50044010-86db-4206-addd-d2a96121eab7,completed,0.831429,0.74,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18605,15494,0.0,13.3285,123.563
CVE-2024-27872,no_bon,2e5a5805-4ec3-46da-9275-df4206ede421,completed,0.904762,0.5,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,5827,987,0.0,2.2416,62.052
CVE-2025-36568,full,539edca2-e37c-4820-96ec-bb495c3ecdf1,completed,0.965714,0.82,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,28945,6753,0.0,12.06,67.981
CVE-2025-36568,no_rag,4318aa6e-1051-4ef8-b7f3-41c9c354f38f,completed,0.850476,0.84,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18600,8029,0.0,9.5945,60.505
CVE-2025-36568,no_bon,b85f72ee-1214-4f38-9859-84785c6e81f7,completed,0.931429,0.64,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,5795,911,0.0,2.194,49.926
CVE-2026-41429,full,2b161133-1804-46cf-a769-ffe4e0064e09,completed,0.977143,0.88,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,35855,14622,0.0,18.0675,114.515
CVE-2026-41429,no_rag,1cca14c8-e8b0-41e5-8742-729a64b3ce21,completed,0.854286,0.86,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18615,10265,0.0,10.717,85.187
CVE-2026-41429,no_bon,f9da6c7d-c25e-4e0b-9dc7-bc2d0b9a4efc,completed,0.878095,0.36,1,1,1,1,1.0,1.0,1,1,0,1,selected,,,,7169,2727,0.0,3.5142,70.658
CVE-2026-40880,full,e473298c-bc0d-476d-bdc7-b3a5bbee90f1,completed,0.958095,0.78,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,32500,8858,0.0,14.179,77.397
CVE-2026-40880,no_rag,22a34249-0172-4b4b-9966-ed043cc23780,completed,0.854286,0.86,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18630,7381,0.0,9.2795,58.544
CVE-2026-40880,no_bon,4b825140-3dc2-4ecb-bdf6-58bc463fcf8d,completed,0.881905,0.38,1,1,1,1,1.0,1.0,1,1,0,1,selected,,,,6501,2286,0.0,3.0933,69.852
CVE-2026-39374,full,7bcf0617-1242-4205-8b47-6253fdb913db,completed,0.977143,0.88,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,31050,8421,0.0,13.5255,75.452
CVE-2026-39374,no_rag,4929d196-298d-40d3-9739-0934e077cce8,completed,0.852381,0.85,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18605,6158,0.0,8.6605,56.135
CVE-2026-39374,no_bon,80d162cd-cb2b-499f-b297-ca535e287d3f,completed,0.927619,0.62,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,6208,1545,0.0,2.6349,62.477
CVE-2026-7123,full,986deaca-7b3b-4584-b989-254b4ec61f44,completed,0.973333,0.86,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,33260,7560,0.0,13.758,71.122
CVE-2026-7123,no_rag,06bfc8ad-2b4d-427d-a6cc-6366a7122e05,completed,0.858095,0.88,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18600,10997,0.0,11.0785,84.482
CVE-2026-7123,no_bon,62a7872c-0b45-4e5c-a90d-66e717611fa2,completed,0.96381,0.81,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,6660,1373,0.0,2.6845,56.724
CVE-2025-43427,full,2b357403-aee9-42b0-828f-542993f0b9f8,completed,0.969524,0.84,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,29180,7233,0.0,12.3705,73.911
CVE-2025-43427,no_rag,d021b980-9086-4d06-8eef-8ec05227060d,completed,0.842857,0.8,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18790,8429,0.0,9.8515,66.716
CVE-2025-43427,no_bon,15ca4f00-fe89-47eb-89ec-6ecaef8d0851,completed,0.973333,0.86,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,5837,2163,0.0,2.8326,66.732
CVE-2026-34309,full,626dbf1f-f59c-4204-bd09-f296813f6482,completed,0.982857,0.91,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,32790,5715,0.0,12.6945,62.037
CVE-2026-34309,no_rag,3d3a3f60-abad-40c2-88b7-18e0e480d336,completed,0.852381,0.85,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18575,15400,0.0,13.2725,150.807
CVE-2026-34309,no_bon,a847cfa8-c092-4daa-87ed-6e62145ee820,completed,0.96381,0.81,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,6545,1515,0.0,2.721,68.713
CVE-2026-23536,full,de9ac041-4d43-4ba0-a181-912c5f377eae,completed,0.980952,0.9,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,31005,9245,0.0,13.924,79.736
CVE-2026-23536,no_rag,f6ceb2a3-ddad-4361-a4c8-2db7b8f1f94e,completed,0.858095,0.88,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18560,7809,0.0,9.4725,71.947
CVE-2026-23536,no_bon,e2199caa-15fd-4bbd-aa21-fbe24bc10e65,completed,0.967619,0.83,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,6196,1164,0.0,2.4408,60.965
CVE-2026-35453,full,d9740493-353f-4b73-8f94-e6c3e865b41c,completed,0.980952,0.9,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,36900,7216,0.0,14.678,71.622
CVE-2026-35453,no_rag,86db53e5-a144-42e3-8220-d5a2d644bbf3,completed,0.85619,0.87,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18540,10640,0.0,10.882,66.462
CVE-2026-35453,no_bon,af94719b-1044-451d-b4a3-487986013659,completed,0.977143,0.88,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,7378,1816,0.0,3.1214,66.787
CVE-2026-7202,full,e91e285d-5658-489f-adab-9618c8eaa9e9,completed,0.977143,0.88,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,33745,7030,0.0,13.6385,76.968
CVE-2026-7202,no_rag,fd6f3bad-37f5-4940-9205-097563b0b1b4,completed,0.858095,0.88,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18535,8092,0.0,9.6065,59.103
CVE-2026-7202,no_bon,50258d45-3878-49e5-a4e8-f7d81f4c8323,completed,0.958095,0.78,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,6750,1717,0.0,2.8835,62.688
CVE-2025-33124,full,9dc077d6-37b7-4fe9-8e73-97557d1a3774,completed,0.971429,0.85,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,26575,6543,0.0,11.244,72.63
CVE-2025-33124,no_rag,c24d2576-f2e4-420a-b439-6c8cd9d459d5,completed,0.861905,0.9,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18535,9656,0.0,10.3885,67.588
CVE-2025-33124,no_bon,b8231757-4c5c-43c3-9da7-27f294312fbd,completed,0.984762,0.92,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,5312,1122,0.0,2.1546,63.346
CVE-2026-43685,full,d255ce87-5209-4859-a941-c67d700e6987,completed,0.977143,0.88,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,33730,7677,0.0,13.9575,78.627
CVE-2026-43685,no_rag,53d012dd-3b82-42f8-91c6-251ed9f19aa7,completed,0.850476,0.84,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18460,7150,0.0,9.113,61.272
CVE-2026-43685,no_bon,8484974c-e879-4393-b006-5a0dc4742a24,completed,0.950476,0.74,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,6747,1259,0.0,2.6536,65.229
CVE-2026-6066,full,44577386-2829-4759-9c09-b2e14ea76327,completed,0.958095,0.78,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,32135,5729,0.0,12.505,72.167
CVE-2026-6066,no_rag,300d4c2a-fd58-4b90-bccd-431f29371ac0,completed,0.839048,0.78,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18465,10636,0.0,10.8575,90.763
CVE-2026-6066,no_bon,1677ad19-a651-49ee-8d56-e79f9eb79a0c,completed,0.958095,0.78,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,6427,3162,0.0,3.5091,81.443
CVE-2026-7271,full,247a2711-9e8b-4cf6-ae37-3cf13e643c7a,completed,0.980952,0.9,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,31795,7964,0.0,13.5205,72.613
CVE-2026-7271,no_rag,6098a784-98ac-4784-9719-c6b71e08335e,completed,0.854286,0.86,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18475,9732,0.0,10.4085,72.954
CVE-2026-7271,no_bon,6108d74e-fa5a-43b6-865f-753952ed0767,completed,0.958095,0.78,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,6352,898,0.0,2.3546,54.867
CVE-2026-5779,full,955c7ce9-1852-4466-acef-4a13c106a759,completed,0.973333,0.86,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,30280,6953,0.0,12.5605,71.011
CVE-2026-5779,no_rag,301a0c31-e763-4db6-8906-f66cdef4ab55,completed,0.846667,0.82,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18430,8430,0.0,9.744,67.119
