cve_id,condition,batch_id,batch_status,total_reward,quality_score,gate_FORMAT,gate_FUNCTIONAL,gate_SOLVABILITY,gate_NON_TRIVIALITY,soft_RAG_GROUNDING,soft_CVE_RELEVANCE,passed_all_binary,pub_ge_06,pub_ge_090,is_selected,selection_status,solvability_source,xss_selftest_live,n_selftest_live,tokens_in,tokens_out,selftest_cost_rub,cost_rub,wall_clock_s
CVE-2026-49383,full,803d83bb-5b85-4a5c-b947-bdc1a0660ac7,completed,0.980952,0.9,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,32440,7723,0.0,13.5935,94.926
CVE-2026-49383,no_rag,2aad8562-e546-4745-ad0a-b76510ec7d99,completed,0.858095,0.88,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18060,9782,0.0,10.309,91.473
CVE-2026-49383,no_bon,867079c2-6331-4cf2-a4bd-46b910ffddc4,completed,0.961905,0.8,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,6485,1089,0.0,2.49,60.165
CVE-2026-42589,full,1aaea5ed-07cb-4b3c-add4-70f2711e4f39,completed,0.969524,0.84,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,34360,6326,0.0,13.471,102.886
CVE-2026-42589,no_rag,f815a8a2-30b7-4080-bcf8-454c6ca11302,completed,0.86381,0.91,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18025,7430,0.0,9.1225,93.025
CVE-2026-42589,no_bon,eed71011-293b-4fc9-8f6e-c49d2599ea8f,completed,0.96,0.79,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,6868,3231,0.0,3.6759,81.294
CVE-2026-35231,full,3b8c0106-543d-4e7d-a9dc-bd64e93f3d1f,completed,0.971429,0.85,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,33930,6596,0.0,13.477,88.924
CVE-2026-35231,no_rag,2ae7e820-a526-4c97-80c2-389e8a1bade7,completed,0.86381,0.91,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18020,6783,0.0,8.7975,90.19
CVE-2026-35231,no_bon,234a8725-6078-469f-9946-1807ef29728f,completed,0.965714,0.82,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,6787,1841,0.0,2.9566,70.54
CVE-2026-35015,full,d7358641-17fc-4233-8a79-4c900d724b89,completed,0.971429,0.85,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,34390,7206,0.0,13.92,94.755
CVE-2026-35015,no_rag,f281d819-d24c-4e23-886d-b0e0e3721086,completed,0.865714,0.92,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18010,7155,0.0,8.9805,84.681
CVE-2026-35015,no_bon,55af9a8d-99d5-4baa-9ecd-654504665622,completed,0.971429,0.85,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,6885,1532,0.0,2.8315,69.798
CVE-2026-39828,full,10a3a3df-f7ec-4327-a49c-42ac95bcc221,completed,0.973333,0.86,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,31575,10737,0.0,14.841,116.089
CVE-2026-39828,no_rag,792d4220-a34b-4bd5-ad3c-447881a3b2c3,completed,0.865714,0.92,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18005,6791,0.0,8.797,80.902
CVE-2026-39828,no_bon,a2e0b7d7-1921-408f-93d8-e31b3712e338,completed,0.942857,0.7,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,6316,4267,0.0,4.0283,97.099
CVE-2024-27872,full,f173f54e-c69e-41f8-8b2d-b268b99d42d4,completed,0.980952,0.9,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,28695,7440,0.0,12.3285,93.293
CVE-2024-27872,no_rag,a2ee0c92-71a3-4c57-ab71-1329f5c07f4f,completed,0.846667,0.82,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18015,8533,0.0,9.671,91.38
CVE-2024-27872,no_bon,d6e9b8e8-b273-4069-a3f7-6c72c1c9dd19,completed,0.961905,0.8,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,5732,1391,0.0,2.4151,67.12
CVE-2025-36568,full,0454ff77-a68a-4f6c-8004-18c30014a2c9,completed,0.984762,0.92,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,28460,8083,0.0,12.5795,112.584
CVE-2025-36568,no_rag,8420322e-7773-49dd-89cf-09b0dd113c22,completed,0.865714,0.92,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18035,6319,0.0,8.57,81.957
CVE-2025-36568,no_bon,42477b42-ee1d-49ea-96a5-fc2de13071dd,completed,0.92,0.58,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,5697,829,0.0,2.1236,59.029
CVE-2026-41429,full,9acae6c0-2dfa-48b6-8195-b89e8bd1f627,completed,0.977143,0.88,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,34700,6404,0.0,13.612,87.27
CVE-2026-41429,no_rag,05f6986e-e5a7-42dc-af95-a1c2445b7a08,completed,0.865714,0.92,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18060,8786,0.0,9.811,104.2
CVE-2026-41429,no_bon,2e2bc662-0008-47d9-874f-c0455ee6c6d4,completed,0.984762,0.92,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,6945,1913,0.0,3.04,75.607
CVE-2026-40880,full,60ae57a3-2916-4d0c-bfba-738f45b4f2f0,completed,0.950476,0.74,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,31725,7758,0.0,13.3965,97.22
CVE-2026-40880,no_rag,a9418ab2-f4d4-4166-a442-757a2c7dc244,completed,0.854286,0.86,1,1,1,1,0.5,0.5,1,1,0,1,selected,,,,18145,8687,0.0,9.787,86.716
CVE-2026-40880,no_bon,3bafd7dc-7d8f-49a5-b29a-1ae1a6f07ac4,completed,0.884762,0.62,1,1,1,1,0.7,1.0,1,1,0,1,selected,,,,6365,1568,0.0,2.6935,68.567
CVE-2026-39374,full,1f9f7f84-0446-43d9-a192-2627903c0936,completed,0.977143,0.88,1,1,1,1,1.0,1.0,1,1,1,1,selected,,,,30745,6012,0.0,12.2295,89.652
