cve_id,condition,batch_id,batch_status,total_reward,quality_score,gate_FORMAT,gate_FUNCTIONAL,gate_SOLVABILITY,gate_NON_TRIVIALITY,soft_RAG_GROUNDING,soft_CVE_RELEVANCE,passed_all_binary,pub_ge_06,pub_ge_090,is_selected,selection_status,solvability_source,xss_selftest_live,n_selftest_live,tokens_in,tokens_out,selftest_cost_rub,cost_rub,wall_clock_s
CVE-2026-49383,full,9a6971c5-6004-4030-a841-d0be530300fa,completed,0.988571,0.94,1,1,1,1,1.0,1.0,1,1,1,1,selected,live_pass,1,5,34355,10782,0.0,15.6975,125.189
CVE-2026-49383,no_rag,3329a93d-deaf-4e5a-9c6f-82c4ed8ea68f,completed,0.865714,0.92,1,1,1,1,0.5,0.5,1,1,0,1,selected,live_pass,1,5,19045,10877,0.0,11.152,102.335
CVE-2026-49383,no_bon,88817c68-6106-4b23-a3c8-c86832ac0594,completed,0.990476,0.95,1,1,1,1,1.0,1.0,1,1,1,1,selected,live_pass,1,1,6875,1522,0.0,2.8235,75.472
CVE-2026-49383,no_self_test,5d9832af-3067-41a6-aaf4-7837a3d8231a,completed,0.986667,0.93,1,1,1,1,1.0,1.0,1,1,1,1,selected,static,0,0,34375,9531,0.0,15.078,80.73
CVE-2026-42589,full,1ae88653-fd9e-488f-b248-617129fa6dd4,completed,0.934286,0.88,1,1,1,1,0.7,1.0,1,1,1,1,selected,live_pass,1,5,35295,9717,0.0,15.447,145.359
CVE-2026-42589,no_rag,0b8c040e-fee1-4fa1-9b2a-0d8147ecec61,completed,0.86381,0.91,1,1,1,1,0.5,0.5,1,1,0,1,selected,live_pass,1,5,19090,5621,0.0,8.5375,79.465
CVE-2026-42589,no_bon,d71d6e5c-2d46-4c32-88a4-4d53f82d4c55,completed,0.973333,0.86,1,1,1,1,1.0,1.0,1,1,1,1,selected,live_pass,1,1,7065,2113,0.0,3.176,75.081
CVE-2026-42589,no_self_test,9faa236d-5306-4a91-bc07-f1ca156e2bb5,completed,0.938095,0.9,1,1,1,1,0.7,1.0,1,1,1,1,selected,static,0,0,35330,11410,0.0,16.304,103.734
CVE-2026-35231,full,efcb8e35-fc37-4a48-9881-16efc0327b9e,completed,0.980952,0.9,1,1,1,1,1.0,1.0,1,1,1,1,selected,live_pass,1,5,34885,8414,0.0,14.6725,115.04
CVE-2026-35231,no_rag,e5ed224c-1e37-436c-8b83-c425b71749ae,completed,0.850476,0.84,1,1,1,1,0.5,0.5,1,1,0,1,selected,live_pass,1,5,19060,11167,0.0,11.3015,99.118
CVE-2026-35231,no_bon,2c5a0dee-f3fd-4d97-9cf2-7e9824687429,completed,0.969524,0.84,1,1,1,1,1.0,1.0,1,1,1,1,selected,live_pass,1,2,14030,3062,0.0,5.74,116.035
CVE-2026-35231,no_self_test,22c150f4-3abf-43c9-a4b0-a6148b186d7e,completed,0.977143,0.88,1,1,1,1,1.0,1.0,1,1,1,1,selected,static,0,0,34875,9157,0.0,15.041,84.178
CVE-2026-35015,full,839b997d-4301-4bda-a0da-c142107e86b2,completed,0.977143,0.88,1,1,1,1,1.0,1.0,1,1,1,1,selected,live_pass,1,5,38725,8214,0.0,15.7245,103.055
CVE-2026-35015,no_rag,5f9ca545-25e5-474a-9ac5-17e8eccc861e,completed,0.858095,0.88,1,1,1,1,0.5,0.5,1,1,0,1,selected,live_pass,1,5,19025,12947,0.0,12.181,96.798
CVE-2026-35015,no_bon,0d0fd59e-efd9-406b-92e9-54e08aa86df8,completed,0.977143,0.88,1,1,1,1,1.0,1.0,1,1,1,1,selected,live_pass,1,1,7740,1603,0.0,3.1235,63.771
CVE-2026-35015,no_self_test,0bcf8bbb-4d62-4b15-bcc5-d7b5acd633c9,completed,0.973333,0.86,1,1,1,1,1.0,1.0,1,1,1,1,selected,static,0,0,38700,9772,0.0,16.496,92.7
CVE-2026-39828,full,ff4d3219-d8d5-4bf3-9e5c-8e214221a346,completed,0.93619,0.89,1,1,1,1,0.7,1.0,1,1,1,1,selected,live_pass,1,5,32175,9458,0.0,14.3815,112.759
CVE-2026-39828,no_rag,ccb03948-7da7-47ec-a5e5-1b447ade4c32,completed,0.85619,0.87,1,1,1,1,0.5,0.5,1,1,0,1,selected,live_pass,1,5,18995,11989,0.0,11.693,106.605
CVE-2026-39828,no_bon,c9d65a14-1a8f-4c7d-a66c-47132352521f,completed,0.891429,0.88,1,1,1,1,1.0,0.1,1,1,0,1,selected,live_pass,1,1,6435,1542,0.0,2.7015,63.958
CVE-2026-39828,no_self_test,2f825a1e-e102-4f57-a02e-90587092a055,completed,0.973333,0.86,1,1,1,1,1.0,1.0,1,1,1,1,selected,static,0,0,32175,10744,0.0,15.0245,74.087
CVE-2024-27872,full,a0e5babe-9923-4a7d-ae94-e65835b1a32a,completed,0.94,0.91,1,1,1,1,0.7,1.0,1,1,1,1,selected,live_pass,1,5,29215,6660,0.0,12.0945,106.293
CVE-2024-27872,no_rag,431f7942-8288-476a-bdfe-f21a86c61c2d,completed,0.86381,0.91,1,1,1,1,0.5,0.5,1,1,0,1,selected,live_pass,1,5,18990,8628,0.0,10.011,91.506
CVE-2024-27872,no_bon,d4dea76f-487f-474e-b8b0-0b4977f73830,completed,0.934286,0.88,1,1,1,1,0.7,1.0,1,1,1,1,selected,live_pass,1,2,11738,3573,0.0,5.3079,114.824
CVE-2024-27872,no_self_test,906f8a28-1fe8-4466-874e-a68794ccf496,completed,0.934286,0.88,1,1,1,1,0.7,1.0,1,1,1,1,selected,static,0,0,29155,8453,0.0,12.973,76.625
CVE-2025-36568,full,c31ec3e1-eb92-4684-94c5-23e2ae04e4d0,completed,0.934286,0.88,1,1,1,1,0.7,1.0,1,1,1,1,selected,live_pass,1,5,28950,9087,0.0,13.2285,112.052
CVE-2025-36568,no_rag,3e8a2c78-4d8a-4c7c-9c2f-d11030c3a681,completed,0.861905,0.9,1,1,1,1,0.5,0.5,1,1,0,1,selected,live_pass,1,5,18925,6120,0.0,8.7375,77.829
CVE-2025-36568,no_bon,cdb8de58-3f3e-4028-abf5-f4460d2a2605,completed,0.950476,0.89,1,1,1,1,1.0,0.7,1,1,1,1,selected,live_pass,1,1,5793,2309,0.0,2.8924,78.442
CVE-2025-36568,no_self_test,acec68df-200b-4e14-96f7-27e006ae8a23,completed,0.988571,0.94,1,1,1,1,1.0,1.0,1,1,1,1,selected,static,0,0,28965,9551,0.0,13.465,96.686
CVE-2026-41429,full,1435d658-ba7c-4d09-a222-badf568e0d4e,completed,0.977143,0.88,1,1,1,1,1.0,1.0,1,1,1,1,selected,live_pass,1,5,35475,9606,0.0,15.4455,110.442
CVE-2026-41429,no_rag,e593bfae-7823-490b-8525-65d26f1df526,completed,0.880952,1.0,1,1,1,1,0.5,0.5,1,1,0,1,selected,live_pass,1,5,18930,9145,0.0,10.2515,90.732
CVE-2026-41429,no_bon,d8bc16cf-335d-4fa4-946e-946295ec9dc3,completed,0.967619,0.83,1,1,1,1,1.0,1.0,1,1,1,1,selected,live_pass,1,1,7096,948,0.0,2.6028,67.372
CVE-2026-41429,no_self_test,c337dba1-743a-4c8f-88b3-785ca0f2c548,completed,0.982857,0.91,1,1,1,1,1.0,1.0,1,1,1,1,selected,static,0,0,35480,7570,0.0,14.429,73.772
CVE-2026-40880,full,211d224a-d710-4653-b007-0ae6b128c75f,completed,0.947619,0.95,1,1,1,1,0.7,1.0,1,1,1,1,selected,live_pass,1,5,32470,9464,0.0,14.473,112.949
CVE-2026-40880,no_rag,b17f287e-d894-448d-a079-eec3f624b938,completed,0.86,0.89,1,1,1,1,0.5,0.5,1,1,0,1,selected,live_pass,1,5,18905,12653,0.0,11.998,114.093
CVE-2026-40880,no_bon,408ef765-0371-475d-a9cf-ca4c135af821,completed,0.930476,0.86,1,1,1,1,0.7,1.0,1,1,1,1,selected,live_pass,1,2,13076,4982,0.0,6.4138,133.737
CVE-2026-40880,no_self_test,e9cb4e01-7ae2-4ac4-99bc-4d11fc1ed8f6,completed,0.942857,0.7,1,1,1,1,1.0,1.0,1,1,1,1,selected,static,0,0,32420,8971,0.0,14.2115,80.647
CVE-2026-39374,full,8293acf2-855f-46a7-b8a6-575e0de174f1,completed,0.984762,0.92,1,1,1,1,1.0,1.0,1,1,1,1,selected,live_pass,1,5,31235,8127,0.0,13.434,111.586
CVE-2026-39374,no_rag,c9f732da-39b7-4fa6-aca3-b77cc36854d5,completed,0.86,0.89,1,1,1,1,0.5,0.5,1,1,0,1,selected,live_pass,1,5,19070,7947,0.0,9.6945,90.924
CVE-2026-39374,no_bon,7361e9b4-f967-463a-953a-6fa425cc383f,completed,0.988571,0.94,1,1,1,1,1.0,1.0,1,1,1,1,selected,live_pass,1,1,6289,1801,0.0,2.7872,66.549
CVE-2026-39374,no_self_test,28deeedf-3206-4b64-a1c6-d1e47f3975be,completed,0.986667,0.93,1,1,1,1,1.0,1.0,1,1,1,1,selected,static,0,0,31435,9510,0.0,14.1855,81.304
CVE-2026-7123,full,3cb1b182-e753-4a65-b416-180f92db5dc2,completed,0.980952,0.9,1,1,1,1,1.0,1.0,1,1,1,1,selected,live_pass,1,5,33470,7779,0.0,13.9305,110.22
CVE-2026-7123,no_rag,2ed95023-0cfb-4001-8bd3-5ca645e4bc20,completed,0.861905,0.9,1,1,1,1,0.5,0.5,1,1,0,1,selected,live_pass,1,5,19090,9058,0.0,10.256,93.674
CVE-2026-7123,no_bon,fd455ee9-d0b8-41d9-9612-5cb7079bd4a5,completed,0.975238,0.87,1,1,1,1,1.0,1.0,1,1,1,1,selected,live_pass,1,2,13459,3280,0.0,5.6777,122.361
CVE-2026-7123,no_self_test,51775104-fc8a-4ff6-96bc-47c2989dafa1,completed,0.979048,0.89,1,1,1,1,1.0,1.0,1,1,1,1,selected,static,0,0,33440,6891,0.0,13.4775,83.407
CVE-2025-43427,full,dae041df-3de6-460f-a6ef-d7f799e9b667,completed,1.0,1.0,1,1,1,1,1.0,1.0,1,1,1,1,selected,live_pass,1,5,30600,6621,0.0,12.4905,95.092
CVE-2025-43427,no_rag,d58d1e67-cd75-4c7d-af13-9e09b7244e06,completed,0.86,0.89,1,1,1,1,0.5,0.5,1,1,0,1,selected,live_pass,1,5,18960,9103,0.0,10.2395,101.231
